;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
435;[8694, 4524, 2178, 5626, 28982, 10943, 51567, 11200, 6399, 283450, 11043, 84059, 8260, 51067, 4070, 4519, 7498, 167691, 190, 23086, 56172, 10026, 199720, 7474, 3664, 114803, 9653, 7515, 79158, 7508, 774, 5442, 22808, 2214, 29925, 8550, 5430, 95681, 9130, 3161, 311, 2642, 6338, 1183, 3557, 81704, 9785, 8890, 2250, 801, 3508, 153562, 200734, 3857, 4953, 215, 2588, 49855, 10295, 7175, 11236, 9200, 348938, 84515, 91662, 1193, 23321, 124590, 1412, 4935, 65992, 650, 865, 22852, 91851, 8883, 64857, 9138, 83737, 259232, 6770, 80216, 284361, 11077, 92609, 54361, 132, 3852, 1760];[199720, 81704, 11077];3
436;[64327, 10940, 2588, 1187, 25886, 79068, 127534, 176, 5831, 84140, 65018, 125150, 7466, 6418, 326, 113235, 83550, 29928, 84987, 157855, 57511, 1814, 339983, 26053, 11136, 22858, 23646, 80320, 10801, 23020, 55790, 4052, 640, 29967, 2212, 9758, 1663, 7201, 4329, 9247, 3972, 27152, 51163, 717, 7374, 899, 23316, 3728, 55280, 4047, 253827, 4953, 7867, 3251, 6509, 9152, 3911, 7809, 7783, 23404, 64864, 25871, 51475, 254394, 112, 3778, 24145, 1586, 109, 55906, 8799, 9786, 1656, 116085, 4091, 389549, 60675, 4297, 378884, 3814, 646, 501, 51259, 63929, 3739, 7424, 2257, 4792, 219844];[7809, 7466, 253827];3
437;[64518, 948, 7289, 23568, 6655, 26191, 11342, 224, 9851, 374407, 4726, 7852, 25793, 1414, 493856, 7018, 3067, 79443, 808, 4929, 2876, 3073, 3791, 114798, 7048, 84892, 2591, 55790, 3078, 125336, 65260, 23780, 1617, 1848, 9702, 55814, 718, 84699, 1892, 64127, 5250, 6473, 112858, 84909, 6709, 1730, 8379, 54585, 51311, 5290, 1413, 25828, 56171, 4221, 2992, 2516, 6654, 92002, 7040, 7874, 54919, 9897, 10216, 80705, 8556, 4054, 1302, 2780, 79770, 2812, 22983, 4703, 79853, 4194, 6223, 5940, 843, 5825, 4647, 9719, 59341, 8925, 84168, 10524, 7388, 8292, 3192, 84274, 3321];[7289, 6709, 6654, 4703];4
438;[1071, 253738, 10641, 55656, 6674, 25828, 7490, 486, 64327, 57704, 1187, 478, 9442, 55904, 4683, 6231, 26053, 1417, 55823, 92579, 26047, 501, 2811, 7273, 5824, 94005, 6928, 23204, 9368, 116115, 11224, 5813, 3561, 2253, 59336, 2556, 142680, 9820, 7453, 24140, 258, 51341, 8737, 64240, 3767, 2334, 51693, 64840, 6873, 28962, 1123, 8831, 7385, 64419, 1861, 5160, 56244, 5002, 10383, 10398, 8490, 8204, 7809, 8911, 50937, 2733, 22926, 5718, 5696, 2027, 1438, 10878, 10205, 1184, 5978, 6690, 1185, 844, 2296, 57410, 29928, 22871, 2187, 6888, 5692, 5950, 5591, 149371, 2584];[5160, 7385, 11224];3
439;[56160, 2660, 4306, 5188, 3251, 158401, 79791, 60528, 5320, 50515, 92667, 8558, 54658, 9414, 147495, 26173, 4848, 675, 2132, 5241, 23114, 7086, 10804, 197258, 1967, 7369, 127833, 10588, 2549, 11234, 4781, 2624, 9790, 84705, 3590, 7297, 5538, 55870, 23007, 2159, 1748, 7137, 8085, 8864, 6901, 4893, 771, 10466, 3913, 9071, 57560, 513, 2617, 1351, 80232, 5723, 56155, 196, 2538, 59345, 7274, 3199, 335, 90121, 57505, 4175, 79001, 117156, 721, 2890, 1650, 270, 1743, 9984, 4617, 26100, 8036, 1804, 23096, 1491, 5157, 84466, 56203, 4312, 92211, 2253, 57863, 5805, 282809];[9984, 57505, 11234, 1743, 84466];5
440;[10395, 4436, 5994, 9698, 26229, 2908, 2495, 4927, 2395, 79798, 26092, 492, 56997, 51067, 81, 85365, 9487, 1355, 2035, 80224, 5788, 1041, 735, 26511, 65078, 94137, 51293, 29940, 3075, 51103, 23418, 25793, 4835, 6708, 1050, 51601, 2193, 31, 865, 582, 283987, 2906, 2811, 3795, 1385, 197, 147912, 20, 6103, 1807, 4849, 2206, 92840, 2203, 6155, 8322, 80736, 7846, 10253, 7507, 3097, 5859, 9871, 1730, 3887, 1300, 5583, 10845, 85300, 23639, 9531, 7703, 2903, 5236, 23096, 348980, 92335, 3640, 6901, 8913, 7276, 54704, 134430, 55005, 529, 10644, 1131, 79705, 83893];[79705, 9531, 10253];3
441;[80726, 8288, 613, 22897, 64419, 7837, 6399, 65082, 54970, 22871, 5324, 200879, 6016, 539, 6496, 4508, 287, 3040, 1244, 11136, 10021, 92482, 6907, 158, 123606, 427, 23155, 3123, 185, 8270, 55851, 131377, 81794, 83538, 1540, 25790, 9211, 26278, 6550, 219844, 11234, 1959, 29893, 3594, 57545, 6524, 9896, 1130, 538, 5083, 4193, 51095, 730, 5236, 3913, 57623, 55670, 79631, 1108, 10216, 388753, 10084, 6729, 26284, 80320, 5645, 9060, 2182, 65057, 63899, 271, 4878, 10940, 9419, 6418, 1889, 6327, 291, 1824, 894, 55768, 79001, 8328, 4123, 220, 7174, 8241, 1183, 175];[4193, 6418];2
442;[3394, 84700, 8546, 5744, 8242, 23241, 5592, 65250, 4942, 5837, 4968, 85440, 8974, 5618, 1272, 25886, 26100, 3954, 2260, 6659, 7148, 22978, 4205, 26284, 51608, 4128, 4907, 51082, 284361, 57863, 2707, 19, 497661, 10743, 55650, 23250, 6155, 51206, 81622, 81693, 8988, 7170, 125170, 80746, 23394, 83990, 6716, 79158, 23522, 283847, 63894, 4212, 23133, 4914, 64127, 5194, 51128, 348980, 53904, 57003, 672, 1763, 79798, 2890, 7227, 10397, 513, 55644, 1103, 2103, 11315, 50485, 26137, 2719, 55294, 112858, 27040, 90522, 650, 6049, 2299, 991, 90678, 1629, 9690, 81620, 4938, 7067, 3071];[85440, 7170, 4942, 11315, 64127];5
443;[5630, 585, 5728, 10586, 26284, 4591, 6907, 1134, 6777, 55750, 286410, 64324, 2678, 129685, 54800, 85358, 640, 6514, 79947, 23395, 6304, 55532, 91, 3207, 23135, 5298, 6892, 25790, 64840, 3980, 79971, 6660, 282996, 54517, 6444, 4920, 25886, 226, 581, 9997, 1893, 6310, 55630, 23152, 6688, 5255, 3815, 113235, 1201, 23780, 4593, 55023, 8504, 1663, 5689, 5621, 5075, 80144, 55149, 84433, 5395, 57187, 9526, 2303, 7139, 51025, 59067, 545, 726, 5587, 57551, 124512, 9935, 6495, 23363, 10165, 10253, 5251, 55967, 51185, 7476, 4620, 8863, 1911, 54463, 23013, 953, 8048, 970];[23152, 23013, 6310];3
444;[4312, 4864, 7532, 6833, 51102, 100134444, 8028, 7021, 4306, 285203, 270, 56975, 79648, 93649, 610, 2200, 26060, 92609, 8087, 3614, 6786, 718, 157680, 2784, 80705, 3574, 90416, 51199, 4358, 79048, 57654, 4221, 26123, 5375, 7187, 7784, 51726, 1131, 4353, 2187, 29072, 79669, 80704, 55325, 57534, 54532, 579, 2006, 8291, 1292, 3192, 6854, 4548, 84033, 3579, 1991, 134353, 6774, 23384, 1130, 2162, 54499, 4609, 9338, 1962, 9095, 64221, 23090, 267012, 55869, 22827, 149461, 3716, 368, 55521, 51371, 6857, 4589, 51112, 23314, 83844, 81846, 2563, 116519, 5313, 4329, 23155, 1743, 342035];[6786, 7532, 7021, 1743];4
445;[5828, 2213, 1410, 89891, 3953, 4882, 4306, 617, 51181, 1802, 6910, 3455, 63901, 5265, 92345, 23221, 84695, 9150, 63932, 9075, 1119, 2304, 58, 20, 1639, 1314, 5949, 1130, 57709, 25, 4751, 3931, 6595, 9361, 353238, 51095, 7042, 402381, 5994, 222663, 1298, 171019, 23175, 19, 2815, 5080, 79147, 29928, 8028, 9423, 7030, 1291, 80210, 2998, 1646, 5354, 2312, 10472, 152816, 953, 79991, 11020, 11253, 23233, 6608, 182, 83938, 10398, 4439, 4654, 10524, 221692, 7051, 5111, 79576, 23001, 6472, 91754, 64072, 4285, 2643, 5589, 6328, 64834, 10243, 83872, 7156, 2879, 55503];[4751, 1410, 5111, 1639];4
446;[23397, 9531, 55572, 6197, 6559, 9681, 54862, 672, 8243, 6505, 4547, 6657, 5479, 83449, 6900, 81570, 4534, 23291, 29119, 6756, 29887, 701, 3911, 28957, 3554, 1981, 4038, 80000, 1487, 4773, 4694, 2703, 4697, 55969, 6659, 85465, 80155, 338328, 118987, 2671, 10750, 1174, 25861, 9653, 6141, 29893, 2313, 3273, 10126, 80169, 146059, 79631, 54808, 3858, 196385, 2055, 1460, 1119, 3857, 10616, 7037, 5333, 7957, 6328, 6768, 5130, 4722, 5351, 149461, 889, 64220, 54919, 4968, 63894, 54795, 26999, 2067, 85007, 50814, 4878, 9871, 80199, 84314, 6497, 84705, 79977, 50674, 4883, 6528];[2703, 84314, 149461, 2055];4
447;[6550, 79705, 6691, 83480, 5630, 726, 50619, 10397, 10060, 3315, 79955, 401138, 6938, 4869, 388662, 6658, 5351, 22859, 84733, 6794, 5224, 4693, 2006, 27327, 57176, 8671, 139212, 10300, 3977, 4953, 51271, 26173, 2997, 5500, 9791, 9653, 11198, 9922, 10054, 4677, 5449, 254065, 4513, 5332, 5096, 3702, 1384, 4720, 11235, 3575, 4487, 29078, 4507, 9723, 5336, 9512, 50615, 22884, 255101, 54345, 3176, 9094, 23438, 348980, 5308, 10749, 6888, 10715, 4125, 3868, 9699, 64241, 2688, 55906, 5604, 190, 50717, 22900, 387, 4645, 2255, 152816, 27130, 8284, 29110, 7068, 51196, 4853, 729359];[55906, 3868, 5630];3
448;[1788, 23135, 23258, 4720, 1911, 7372, 114902, 6041, 6595, 29969, 147495, 23189, 3543, 54938, 92002, 60482, 7136, 6567, 86614, 54765, 2937, 57178, 5830, 8772, 55213, 10616, 2733, 1759, 4141, 801, 3875, 29920, 51271, 84572, 54970, 7841, 5161, 3420, 5336, 8367, 26040, 10021, 3070, 7750, 161582, 402381, 54796, 1282, 2780, 6571, 1947, 79574, 10939, 51082, 113235, 493856, 84570, 352909, 1353, 64072, 58495, 2677, 778, 165, 401, 51744, 8729, 6103, 6550, 5781, 23312, 1080, 925, 4929, 7273, 318, 26121, 5167, 57670, 149461, 5894, 9524, 8675, 51021, 6326, 1460, 2705, 3094, 915];[51744, 5781, 5336];3
449;[5727, 2566, 10847, 55714, 23092, 6901, 126792, 4860, 54936, 59344, 6844, 1303, 6101, 506, 2741, 64421, 3897, 5573, 55898, 3937, 57169, 90268, 5568, 3211, 6927, 6929, 7547, 5311, 54919, 3551, 4905, 3071, 4536, 5692, 1474, 1317, 95, 51259, 6664, 54532, 713, 5190, 2253, 7372, 7837, 80152, 24, 10049, 4068, 2735, 2992, 6708, 1906, 9949, 4693, 50619, 6228, 7852, 55325, 34, 6356, 123016, 1436, 6532, 6341, 1376, 269, 128637, 1767, 84876, 6854, 1482, 845, 92840, 2099, 1795, 6144, 9377, 54756, 115908, 8364, 2815, 9361, 9364, 11178, 10621, 7317, 6337, 407];[6532, 6844];2
450;[54332, 84695, 8626, 51284, 4179, 10699, 57538, 3949, 90, 1650, 29089, 6095, 9126, 2555, 490, 2811, 79415, 5424, 1910, 55120, 64423, 27030, 55159, 54768, 23426, 5395, 81848, 1656, 55681, 5699, 6304, 8540, 1759, 3054, 57531, 5244, 80201, 7054, 288, 9993, 30009, 11149, 26154, 317719, 27178, 51109, 6911, 56704, 1760, 157680, 29894, 79092, 8573, 7019, 26191, 23600, 84061, 79848, 1646, 3039, 50801, 783, 463, 10342, 440435, 132884, 1644, 140628, 987, 55367, 22934, 5087, 9786, 6904, 5199, 95681, 83538, 5062, 3032, 26053, 5994, 2890, 3918, 79005, 9948, 1412, 169522, 1288, 3708];[55120, 29089, 79005];3
451;[51142, 6601, 23418, 84153, 8490, 55325, 9493, 3785, 7066, 8204, 2736, 56603, 4488, 6522, 26227, 3875, 11285, 51633, 6576, 1743, 781, 4724, 5054, 9526, 5293, 2554, 54880, 79759, 137814, 50964, 10126, 4539, 57674, 7280, 3978, 353, 5317, 7388, 9130, 23141, 5340, 6007, 9928, 23135, 3781, 3977, 5546, 4141, 25977, 4160, 1312, 8911, 10806, 9320, 4439, 5568, 9255, 92345, 79581, 9180, 57055, 79902, 23314, 7453, 57822, 126326, 2549, 6049, 55278, 5582, 7169, 3293, 1349, 79882, 79717, 5443, 3141, 10771, 8085, 221927, 55074, 5080, 5530, 9414, 3730, 2811, 4882, 5961, 7167];[7280, 7167, 4141, 1743];4
452;[6898, 3658, 55553, 2668, 8888, 3991, 3909, 2705, 54919, 51651, 57545, 6102, 79784, 23175, 4626, 401, 4613, 5279, 4763, 3875, 1576, 5645, 4796, 58494, 83394, 27329, 6117, 2162, 5149, 4709, 7915, 1687, 2549, 950, 5376, 2720, 55005, 29895, 27341, 6499, 1384, 2623, 146059, 4724, 2147, 6336, 539, 1910, 6144, 55630, 51428, 84340, 6927, 10329, 3482, 5476, 1756, 3674, 10463, 84888, 26278, 3075, 340024, 7809, 6399, 2192, 2187, 3055, 55775, 25914, 4254, 5286, 115908, 389434, 4774, 1066, 60684, 3187, 644096, 9821, 4761, 2157, 26011, 4869, 55151, 84905, 54931, 79705, 8546];[7809, 5476];2
453;[51726, 10324, 2554, 23592, 4338, 1140, 11322, 189, 79188, 23389, 3852, 6573, 10002, 10804, 22, 1410, 8312, 63901, 6095, 83700, 55275, 28957, 3835, 6445, 5081, 11231, 2057, 84946, 53335, 81839, 29895, 344018, 5551, 2584, 23586, 7840, 23203, 83844, 92840, 5921, 6165, 3897, 1020, 23431, 7780, 23607, 116519, 335, 3420, 2059, 4796, 23594, 5430, 1824, 54539, 51062, 10907, 23230, 9562, 525, 4627, 79577, 2812, 54936, 26580, 8737, 5328, 2736, 165918, 54941, 3621, 84196, 7809, 154288, 9200, 38, 90121, 283450, 6885, 7174, 83452, 23395, 5297, 8985, 26005, 5159, 9759, 387119, 9427];[189, 38];2
454;[56683, 2530, 1523, 23314, 6144, 2798, 1439, 5076, 2643, 375, 2694, 116442, 80308, 23451, 10606, 7454, 5155, 5962, 51259, 23432, 4141, 197135, 22845, 343637, 79023, 2259, 51185, 6337, 9075, 440, 64780, 127833, 2074, 400916, 2703, 219844, 4645, 2053, 26278, 57165, 151516, 4781, 23114, 9702, 50515, 8048, 950, 5424, 10565, 10551, 56006, 23288, 2175, 23325, 79228, 80311, 11277, 8405, 8854, 1213, 7078, 22806, 25821, 9409, 54931, 84153, 8462, 26873, 9455, 7175, 2979, 51738, 6235, 55532, 57152, 57526, 9197, 84570, 24148, 55764, 3910, 2299, 64699, 5476, 7802, 5189, 6853, 4508, 51341];[79023, 7175];2
455;[7248, 64327, 51119, 284656, 4952, 84823, 10653, 490, 56947, 51319, 23149, 26191, 84317, 7352, 8632, 84172, 80311, 57017, 4607, 10616, 8913, 64864, 51763, 4649, 7480, 7507, 613, 26058, 25790, 727, 28952, 3149, 55857, 3921, 3321, 55081, 55779, 8729, 6731, 51569, 4808, 396, 7388, 64170, 2162, 5782, 6505, 54585, 84522, 259266, 4486, 865, 22866, 2911, 28957, 3777, 123016, 109, 144406, 240, 7015, 4014, 5393, 29968, 2895, 3953, 54209, 83861, 2670, 11023, 3455, 1106, 10524, 147912, 2483, 4728, 50628, 10112, 2783, 6263, 60528, 54982, 1294, 388389, 3106, 1468, 10058, 4703, 5149];[84522, 56947];2
456;[59344, 63035, 6559, 10095, 51142, 23431, 84466, 55131, 112476, 85440, 137392, 79087, 3763, 60528, 56159, 89884, 7957, 55154, 23729, 23483, 8763, 268, 55851, 84153, 2178, 221692, 4507, 5627, 5449, 1743, 54914, 55037, 51744, 8131, 7253, 2224, 3476, 2622, 4774, 8888, 9378, 55610, 51218, 120, 26276, 284654, 10765, 91647, 771, 6509, 60506, 10436, 1841, 415, 10943, 3575, 8402, 767, 1663, 2632, 6557, 6342, 2318, 65125, 6232, 3553, 92667, 4864, 1380, 1352, 4009, 6329, 10395, 1351, 84833, 118429, 2006, 10299, 6575, 7025, 55689, 1639, 275, 5396, 56160, 165918, 6777, 1406, 6622];[85440, 6622, 165918, 1639];4
457;[10743, 26137, 2811, 6530, 6898, 9289, 3293, 833, 201973, 51112, 1146, 5361, 152137, 30000, 7991, 163786, 118, 26058, 129685, 29978, 51204, 4313, 154881, 157657, 9512, 2492, 51473, 917, 6016, 3977, 79882, 10785, 3815, 3543, 22983, 51086, 57623, 7066, 7369, 2622, 6418, 5298, 10274, 144406, 6756, 2936, 129880, 3952, 8659, 6554, 85446, 5644, 51185, 83538, 84987, 10293, 55572, 11141, 2548, 1822, 10804, 57449, 3908, 22978, 6938, 54862, 3972, 51196, 6555, 7102, 5062, 3990, 79803, 83879, 229, 79577, 401474, 23498, 10699, 27130, 128869, 344018, 79140, 5994, 55212, 55340, 2067, 6399, 11285];[2067, 2622];2
458;[240, 26100, 8915, 7175, 353116, 147495, 84197, 10616, 51741, 8604, 2056, 4773, 10293, 4292, 9095, 1316, 4597, 7507, 3736, 5696, 2006, 4009, 22806, 8567, 54967, 29081, 18, 136647, 1828, 286053, 6101, 51750, 476, 3458, 92667, 1292, 219736, 149371, 6609, 10015, 2560, 4047, 1315, 80821, 2036, 6790, 5826, 64849, 4212, 84905, 29899, 23316, 1642, 5062, 10220, 1621, 5528, 2591, 222546, 10093, 84071, 55172, 6659, 64780, 23265, 2622, 8074, 6532, 6757, 445, 144245, 4194, 7401, 51763, 5250, 6548, 23568, 114928, 24137, 4688, 6328, 6144, 23451, 246243, 5824, 212, 22880, 801, 60529];[6659, 4292, 6790, 7507, 445];5
459;[55212, 344018, 7051, 767, 7021, 4867, 79048, 22884, 5699, 7381, 30011, 10367, 2071, 7019, 672, 51473, 10243, 6324, 284098, 629, 112802, 26523, 10430, 145645, 80204, 23431, 5351, 23639, 5442, 8792, 4069, 56729, 10210, 9526, 1412, 5568, 64135, 4780, 7841, 7136, 7345, 6891, 23534, 27232, 1184, 1509, 9368, 5932, 4488, 286204, 4544, 6304, 175, 4358, 6777, 917, 6878, 91252, 8382, 5654, 54583, 8481, 221496, 6638, 79705, 1629, 9130, 2990, 6514, 1457, 3561, 56259, 1644, 7450, 58, 90678, 55689, 23067, 80222, 8665, 4854, 22, 10125, 5236, 8573, 10940, 11041, 54832, 51002];[8665, 5654];2
460;[5236, 644096, 284086, 4891, 84466, 79728, 10083, 8287, 27161, 5885, 5162, 375056, 26121, 57674, 3048, 1959, 189, 6522, 1802, 6622, 65078, 2068, 26092, 11041, 10461, 169792, 91949, 2065, 3052, 4337, 57128, 1121, 83538, 23065, 54507, 2677, 579, 284119, 8496, 7681, 7846, 3892, 2243, 80705, 5880, 152816, 1300, 65125, 3187, 222663, 5161, 4318, 1369, 7003, 7086, 51738, 4938, 86614, 5345, 6007, 714, 241, 402, 3455, 10841, 2495, 207, 7274, 6595, 326625, 5375, 646, 142680, 9627, 2492, 55753, 11155, 2625, 5728, 130589, 57817, 8943, 79876, 10651, 26154, 10533, 975, 26007, 8364];[5728, 7681, 80705, 26121, 5162, 54507, 207, 2065, 83538, 3892, 9627, 284086, 86614, 7003, 189, 6622];16
461;[91662, 171023, 7139, 4052, 6711, 6891, 6772, 63901, 6854, 2068, 22884, 23218, 55023, 114928, 5664, 11149, 3482, 4340, 9442, 5271, 7389, 338, 4437, 55148, 7490, 4901, 285025, 2703, 7343, 23141, 84173, 6809, 5157, 65057, 340061, 4174, 59, 10235, 11041, 8021, 6690, 23345, 80216, 6660, 84667, 55280, 147495, 54938, 1491, 81570, 203286, 2733, 146059, 157680, 28981, 84529, 11330, 26275, 7036, 10383, 2678, 55811, 51025, 387700, 3060, 5313, 5880, 112939, 79803, 139212, 134701, 5245, 9895, 4976, 221692, 203228, 4137, 10134, 10913, 51117, 1725, 9131, 5138, 80222, 5256, 2627, 843, 9758, 2193];[9442, 6660];2
462;[271, 60676, 5833, 1742, 7415, 51013, 1475, 55135, 51601, 27072, 92345, 6327, 861, 9512, 55129, 3735, 65080, 3932, 347733, 64601, 1855, 93986, 55084, 493753, 2018, 9662, 6305, 254065, 3667, 29968, 5443, 23189, 22906, 6235, 1497, 5530, 2890, 56172, 3350, 51660, 4719, 55191, 1565, 57468, 81887, 3033, 92579, 3313, 58495, 1778, 2622, 2771, 5337, 204219, 10342, 54914, 191, 219972, 7036, 253738, 90678, 9562, 3717, 1105, 259232, 558, 38, 3110, 51218, 25942, 8022, 25885, 7750, 91057, 4009, 1841, 8314, 2059, 2074, 1284, 29978, 26007, 23461, 9049, 57505, 200931, 6688, 7187, 6907];[2059, 1855];2
463;[3242, 11261, 2783, 6901, 6521, 4627, 125336, 1297, 155, 57589, 221496, 3054, 26999, 10913, 729359, 861, 388698, 4261, 6812, 55857, 4297, 26276, 3708, 23394, 3145, 388552, 6197, 29119, 10564, 9821, 152926, 6334, 823, 1351, 56603, 25828, 3032, 7388, 7515, 85465, 9095, 4056, 2677, 6710, 735, 899, 3172, 79641, 4860, 163183, 79083, 55670, 23067, 1586, 2779, 5449, 79228, 4478, 7369, 10274, 8831, 114902, 84059, 1175, 7248, 6925, 57158, 8803, 2070, 1353, 3689, 353116, 649, 4312, 8882, 79759, 445, 5283, 196385, 7453, 10015, 1021, 1513, 3651, 3350, 80217, 9427, 55851, 5281];[7248, 861, 1021, 4478];4
464;[55135, 57096, 1293, 79925, 3199, 7867, 6223, 1727, 6536, 2122, 9354, 57670, 2189, 3897, 7169, 2162, 23600, 286, 63894, 8294, 9757, 7045, 26012, 84892, 23512, 3048, 55779, 27077, 8493, 4117, 2058, 3141, 6509, 92579, 79912, 4848, 2720, 7161, 2954, 1741, 26038, 145645, 4723, 4607, 55969, 3891, 3675, 7783, 56947, 58508, 755, 54681, 4174, 2812, 7421, 5788, 9711, 4548, 2746, 57817, 7040, 64065, 84433, 977, 2934, 5915, 72, 4914, 23586, 127534, 7555, 29968, 7345, 3758, 27329, 7042, 5700, 23279, 1277, 8842, 7846, 55262, 89876, 2261, 2961, 10730, 50485, 6866, 1050];[7169];1
465;[55329, 49855, 2706, 5859, 818, 9529, 7169, 23443, 1387, 2671, 51343, 55814, 10491, 3376, 9453, 7298, 284439, 3418, 2623, 9516, 23761, 55739, 3679, 3198, 25923, 118813, 92344, 10205, 23031, 57102, 6809, 65082, 2010, 714, 57158, 139285, 9241, 283987, 8842, 226, 22800, 10735, 2312, 10142, 2702, 340419, 55037, 1281, 735, 80206, 55215, 8813, 6578, 84100, 29925, 1161, 7468, 5422, 2271, 3851, 79001, 63894, 549, 30008, 2693, 174, 8322, 64699, 3980, 2710, 283489, 84295, 1617, 166785, 90624, 8456, 8789, 5825, 55229, 27247, 6253, 7305, 54949, 55679, 114928, 5610, 5378, 790, 122553];[340419, 5859, 8456, 2623, 30008, 3198, 55679];7
466;[6602, 10397, 5546, 7168, 27241, 2147, 10079, 23483, 55750, 5630, 646, 50640, 6756, 1644, 6907, 6338, 23545, 11253, 8260, 55764, 24148, 529, 4915, 10522, 6888, 6658, 10566, 130589, 6137, 3052, 25802, 63931, 4088, 4544, 1534, 4621, 8560, 199221, 5447, 2006, 23767, 26011, 3508, 26038, 7067, 1105, 28958, 59345, 159686, 153562, 9401, 55148, 7156, 55521, 196528, 6328, 1910, 4173, 6336, 2554, 10479, 84265, 284058, 2273, 64840, 23414, 4548, 6491, 185, 10210, 767, 1119, 8772, 254428, 84168, 6231, 5426, 125150, 55719, 79846, 6809, 3579, 6948, 79755, 4338, 51134, 2688, 5406, 54205];[4544, 6602, 7067, 5630];4
467;[4901, 25802, 4774, 3852, 5663, 64116, 1021, 28956, 1577, 23261, 9922, 1417, 54332, 9688, 2072, 50615, 157657, 5075, 4848, 2898, 254428, 6729, 4617, 3420, 340024, 50, 8738, 6573, 8720, 51776, 4635, 10749, 54413, 3048, 4092, 115399, 7401, 91851, 3918, 147912, 80025, 11235, 10621, 64518, 221927, 10733, 477, 3549, 1605, 7010, 163786, 1421, 3476, 84699, 55699, 8216, 55249, 217, 55165, 4634, 5828, 79415, 4281, 134353, 55812, 699, 359948, 8890, 115650, 258, 23314, 585, 462, 6873, 10743, 55898, 284439, 84992, 2703, 1438, 3123, 5995, 1855, 29925, 23514, 55037, 2006, 362, 91057];[9922, 54332, 55165, 5663];4
468;[5000, 23022, 174, 27429, 10413, 5311, 9368, 10283, 5744, 1917, 811, 4864, 284656, 7056, 383, 57379, 144245, 51091, 92345, 54936, 2627, 2549, 55210, 3135, 4773, 80210, 2159, 3702, 23325, 2997, 3040, 4597, 23530, 4512, 170825, 4790, 54880, 2348, 5825, 538, 284111, 201134, 116461, 27010, 8200, 1184, 3604, 112476, 3284, 4173, 5010, 23512, 28514, 2623, 343637, 10681, 493856, 669, 3039, 2906, 760, 2911, 65109, 359, 4041, 3187, 84197, 25839, 56704, 2890, 3730, 11011, 1654, 6688, 9147, 51428, 8738, 92749, 2212, 2071, 25981, 4841, 1786, 23500, 3077, 9499, 8726, 581, 7249];[2549, 3702, 10413];3
469;[2257, 5106, 1427, 5455, 9739, 92345, 336, 5566, 3190, 55157, 8291, 55151, 6096, 4007, 5915, 3026, 4594, 6948, 5832, 6786, 152110, 26011, 144811, 5914, 7132, 5096, 8050, 27327, 5378, 342618, 6622, 4540, 56479, 368, 3973, 4052, 2121, 56244, 79048, 161742, 37, 56922, 126695, 1729, 55213, 6907, 5071, 23385, 8604, 79991, 7128, 122622, 55107, 8911, 3954, 9620, 23363, 10220, 833, 54967, 120892, 85446, 51185, 80169, 463, 1439, 3008, 6657, 3665, 7372, 5781, 9423, 89970, 5184, 4338, 29110, 7456, 4486, 23592, 2773, 3912, 3459, 171023, 25978, 6916, 1577, 10755, 23204, 3340];[7456, 80169, 120892, 79991];4
470;[2778, 5130, 9581, 5741, 25974, 11151, 93233, 64240, 81857, 8131, 27125, 58494, 10398, 286, 51645, 915, 3350, 6927, 117144, 56171, 189, 399, 6934, 185, 4638, 132, 161582, 1029, 24140, 84033, 9179, 121214, 23370, 57096, 3998, 4035, 4508, 525, 81545, 5395, 5071, 116369, 3852, 5966, 9829, 4893, 4714, 2254, 9230, 83861, 5860, 55182, 4998, 65078, 151648, 2483, 56922, 55605, 958, 7555, 5447, 79902, 3039, 481, 55213, 64581, 23500, 2158, 169026, 5885, 471, 2332, 5449, 23404, 176, 51608, 83999, 51626, 79813, 84277, 7372, 9526, 51086, 5546, 51204, 29998, 54928, 23554, 5903];[23500, 55213, 5966, 5071, 5903];5
471;[84172, 9075, 163786, 53405, 65266, 22907, 50945, 4137, 7390, 222546, 6913, 6536, 4308, 4968, 170691, 55159, 5293, 11078, 3800, 1457, 25794, 3356, 8402, 1896, 1062, 9987, 23247, 6915, 9639, 2328, 83861, 150274, 23780, 120892, 51218, 1495, 3596, 6155, 5192, 1175, 10126, 9158, 55628, 801, 6659, 10002, 11136, 23096, 284119, 2979, 23558, 1302, 6840, 10137, 27068, 102, 9054, 220, 5194, 64207, 25978, 196385, 54808, 2896, 1773, 5376, 4552, 2961, 55367, 50651, 55065, 353, 26153, 79853, 4729, 23509, 2074, 919, 7274, 10345, 10381, 2741, 2617, 9378, 3759, 340061, 2034, 2271, 7123];[4137, 120892, 10381];3
